"cell","family","J","delta","n_attempt","n_wald","rej_wald","n_lrt","rej_lrt","secs","mc_se_wald"
"gauss_fixed","gaussian",NA,0,2000,2000,0.05,2000,0.05,17.7584588527679,0.00487339717240448
"gauss_fixed","gaussian",NA,0.1,2000,2000,0.5085,0,NA,7.21681189537048,0.0111787242116442
"gauss_fixed","gaussian",NA,0.2,2000,2000,0.9805,0,NA,7.24840497970581,0.00309190475273738
"gauss_fixed","gaussian",NA,0.3,2000,2000,1,0,NA,7.47057199478149,0
"gauss_fixed","gaussian",NA,0.5,2000,2000,1,0,NA,7.01346206665039,0
"gauss_mm","gaussian",NA,0,2000,2000,0.054,2000,0.054,92.7536270618439,0.00505390937789747
"gauss_mm","gaussian",NA,0.1,2000,2000,0.679,0,NA,36.787584066391,0.0104393246908026
"gauss_mm","gaussian",NA,0.2,2000,2000,0.997,0,NA,36.3856029510498,0.00122290637417588
"gauss_mm","gaussian",NA,0.3,2000,2000,1,0,NA,36.8057579994202,0
"gauss_mm","gaussian",NA,0.5,2000,2000,1,0,NA,37.4367659091949,0
"binom_mm","binomial",NA,0,2000,2000,0.048,2000,0.0495,109.866860866547,0.00477995815881269
"binom_mm","binomial",NA,0.1,2000,2000,0.201,0,NA,52.3641979694366,0.0089609988282557
"binom_mm","binomial",NA,0.2,2000,2000,0.6035,0,NA,50.4840469360352,0.01093818426431
"binom_mm","binomial",NA,0.3,2000,2000,0.906,0,NA,49.1200239658356,0.00652548848746207
"binom_mm","binomial",NA,0.5,2000,2000,0.9995,0,NA,48.3037669658661,0.000499874984371065
"pois_mm","poisson",NA,0,2000,2000,0.053,2000,0.053,95.3421061038971,0.0050095408971282
"pois_mm","poisson",NA,0.1,2000,2000,0.9085,0,NA,43.398442029953,0.00644700511865781
"pois_mm","poisson",NA,0.2,2000,2000,1,0,NA,41.0833568572998,0
"pois_mm","poisson",NA,0.3,2000,2000,1,0,NA,41.3621740341187,0
"pois_mm","poisson",NA,0.5,2000,2000,1,0,NA,41.6899898052216,0
"mn_J3_rich","multinomial",3,0,2000,1998,0.0545545545545546,1998,0.0555555555555556,254.143364906311,0.00508084565387622
"mn_J3_rich","multinomial",3,0.1,2000,1999,0.308654327163582,0,NA,109.404198884964,0.0103318338226308
"mn_J3_rich","multinomial",3,0.2,2000,2000,0.869,0,NA,108.551475048065,0.00754450130890041
"mn_J3_rich","multinomial",3,0.3,2000,2000,0.9955,0,NA,107.314060926437,0.00149662119455792
"mn_J3_rich","multinomial",3,0.5,2000,2000,1,0,NA,106.347915887833,0
"mn_J3_thin","multinomial",3,0,2000,1940,0.045360824742268,1939,0.0551830840639505,189.87636590004,0.00472453675910438
"mn_J3_thin","multinomial",3,0.1,2000,1930,0.160103626943005,0,NA,76.2685649394989,0.00834708399279331
"mn_J3_thin","multinomial",3,0.2,2000,1918,0.503128258602711,0,NA,76.1114859580994,0.0114166109794253
"mn_J3_thin","multinomial",3,0.3,2000,1921,0.857886517438834,0,NA,76.0497159957886,0.00796652420312466
"mn_J3_thin","multinomial",3,0.5,2000,1925,0.998961038961039,0,NA,75.3081870079041,0.000734274657173007
