"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J5_vrich","multinomial",5,"c1:(Intercept)",0.119,2000,1971,0.943683409436834,0.00203898075357058,0.160307843145415,0.159968014091687,0.997880147052941,0.00519263773545806,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c1:x1",-0.541,2000,1971,0.947742262810756,-0.00502574799798106,0.0663108459923556,0.065342610244949,0.985398531221902,0.00501276230662511,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c1:grpb",0.258,2000,1971,0.941146626078133,0.0037192820901869,0.154165298662139,0.149756434810432,0.971401710436997,0.00530116125527504,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c1:grpc",0.69,2000,1971,0.946727549467275,0.00723395233671897,0.144878157014604,0.145429325580153,1.00380435931065,0.00505848577233953,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c2:(Intercept)",0.049,2000,1971,0.939117199391172,0.00229711717121138,0.168255016466155,0.163890525055718,0.974060259824026,0.00538596957748801,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c2:x1",0.653,2000,1971,0.946220192795535,0.00454153780203226,0.0742086834293989,0.0737886299807889,0.99433956473558,0.00508115466157376,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c2:grpb",0.24,2000,1971,0.952815829528158,0.00421120323512819,0.153717019449408,0.153837912120181,1.00078646249586,0.00477594516526057,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c2:grpc",-0.288,2000,1971,0.948756976154236,0.00211858598347192,0.169315900194745,0.166664984158418,0.984343372162462,0.00496651273871501,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c3:(Intercept)",-0.198,2000,1971,0.944190766108574,-0.000699647100406625,0.175731480249658,0.171269941344949,0.97461161256725,0.00517058393768639,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c3:x1",-0.455,2000,1971,0.953323186199899,-0.00260588923740784,0.076673587107897,0.0772539754582764,1.00756959954883,0.00475146317038757,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c3:grpb",0.068,2000,1971,0.954845256215119,0.00125938775455268,0.169085370092419,0.170405122073863,1.00780524051681,0.00467708084006212,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c3:grpc",0.008,2000,1971,0.949771689497717,0.00036161131258503,0.178905763682879,0.174958750196045,0.97793803058335,0.00491972223120903,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c4:(Intercept)",-0.429,2000,1971,0.944190766108574,-0.00557206579602926,0.18865792049837,0.181116831331099,0.96002770969091,0.00517058393768639,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c4:x1",0.192,2000,1971,0.952308472856418,0.00203852531706444,0.0802862277203183,0.0796695038013162,0.992318434474832,0.00480027509476658,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c4:grpb",0.263,2000,1971,0.953830542871639,-8.78552544977818e-05,0.182942054578831,0.181629280270102,0.992824097708144,0.0047268267473388,564.021564006805,1200,120,"glm",10,0.9855
"mn_J5_vrich","multinomial",5,"c4:grpc",0.196,2000,1971,0.941146626078133,0.00102613231796067,0.190095808704921,0.184774745743525,0.972008520347462,0.00530116125527504,564.021564006805,1200,120,"glm",10,0.9855
