"cell","family","J","delta","n_attempt","n_wald","rej_wald","n_lrt","rej_lrt","secs","mc_se_wald"
"gauss_fixed","gaussian",NA,0,2000,2000,0.05,2000,0.05,24.6095080375671,0.00487339717240448
"gauss_fixed","gaussian",NA,0.1,2000,2000,0.5085,0,NA,9.33389401435852,0.0111787242116442
"gauss_fixed","gaussian",NA,0.2,2000,2000,0.9805,0,NA,9.26217103004456,0.00309190475273738
"gauss_fixed","gaussian",NA,0.3,2000,2000,1,0,NA,8.80239295959473,0
"gauss_fixed","gaussian",NA,0.5,2000,2000,1,0,NA,8.89597105979919,0
"gauss_mm","gaussian",NA,0,2000,2000,0.054,2000,0.054,112.391951084137,0.00505390937789747
"gauss_mm","gaussian",NA,0.1,2000,2000,0.679,0,NA,44.2950389385223,0.0104393246908026
"gauss_mm","gaussian",NA,0.2,2000,2000,0.997,0,NA,45.3593261241913,0.00122290637417588
"gauss_mm","gaussian",NA,0.3,2000,2000,1,0,NA,44.5190410614014,0
"gauss_mm","gaussian",NA,0.5,2000,2000,1,0,NA,43.0187389850616,0
"binom_mm","binomial",NA,0,2000,2000,0.048,2000,0.0495,133.293175935745,0.00477995815881269
"binom_mm","binomial",NA,0.1,2000,2000,0.201,0,NA,60.2117660045624,0.0089609988282557
"binom_mm","binomial",NA,0.2,2000,2000,0.6035,0,NA,60.3777379989624,0.01093818426431
"binom_mm","binomial",NA,0.3,2000,2000,0.906,0,NA,60.1521170139313,0.00652548848746207
"binom_mm","binomial",NA,0.5,2000,2000,0.9995,0,NA,58.8328700065613,0.000499874984371065
"pois_mm","poisson",NA,0,2000,2000,0.053,2000,0.053,115.476310014725,0.0050095408971282
"pois_mm","poisson",NA,0.1,2000,2000,0.9085,0,NA,50.6631729602814,0.00644700511865781
"pois_mm","poisson",NA,0.2,2000,2000,1,0,NA,49.9279320240021,0
"pois_mm","poisson",NA,0.3,2000,2000,1,0,NA,49.7681031227112,0
"pois_mm","poisson",NA,0.5,2000,2000,1,0,NA,49.5648729801178,0
"mn_J3_rich","multinomial",3,0,2000,1998,0.0545545545545546,1998,0.0555555555555556,306.616255044937,0.00508084565387622
"mn_J3_rich","multinomial",3,0.1,2000,2000,0.3085,0,NA,140.641783952713,0.0103278204380208
"mn_J3_rich","multinomial",3,0.2,2000,2000,0.869,0,NA,137.350812911987,0.00754450130890041
"mn_J3_rich","multinomial",3,0.3,2000,2000,0.9955,0,NA,127.478997945786,0.00149662119455792
"mn_J3_rich","multinomial",3,0.5,2000,2000,1,0,NA,127.126706123352,0
"mn_J3_thin","multinomial",3,0,2000,1944,0.0452674897119342,1943,0.0550694801852805,242.502248048782,0.00471504596807134
"mn_J3_thin","multinomial",3,0.1,2000,1939,0.160391954615781,0,NA,106.587589025497,0.00833375408802945
"mn_J3_thin","multinomial",3,0.2,2000,1930,0.50259067357513,0,NA,107.300963163376,0.0113811335660788
"mn_J3_thin","multinomial",3,0.3,2000,1925,0.858181818181818,0,NA,107.529458999634,0.00795133853385597
"mn_J3_thin","multinomial",3,0.5,2000,1930,0.998963730569948,0,NA,107.306529045105,0.000732373377876248
"nbinom_mm","nbinom",NA,0,2000,2000,0.0545,2000,0.054,589.078876018524,0.00507591124823908
"nbinom_mm","nbinom",NA,0.1,2000,2000,0.617,0,NA,267.230656862259,0.0108699356023851
"nbinom_mm","nbinom",NA,0.2,2000,2000,0.9935,0,NA,262.872997999191,0.00179690706493129
"nbinom_mm","nbinom",NA,0.3,2000,2000,1,0,NA,260.681994915009,0
"nbinom_mm","nbinom",NA,0.5,2000,2000,1,0,NA,256.37669301033,0
"gauss_ar1","gaussian",NA,0,2000,2000,0.055,2000,0.0545,307.189263105392,0.00509779364038993
"gauss_ar1","gaussian",NA,0.1,2000,2000,0.887,0,NA,119.18422794342,0.00707923018413725
"gauss_ar1","gaussian",NA,0.2,2000,2000,1,0,NA,118.599527835846,0
"gauss_ar1","gaussian",NA,0.3,2000,2000,1,0,NA,118.172392129898,0
"gauss_ar1","gaussian",NA,0.5,2000,2000,1,0,NA,116.382771968842,0
"gauss_car1","gaussian",NA,0,2000,1951,0.0574064582265505,1950,0.0569230769230769,218.161981105804,0.00526640157373563
"gauss_car1","gaussian",NA,0.1,2000,1956,0.677402862985685,0,NA,87.6590411663055,0.0105698626298813
"gauss_car1","gaussian",NA,0.2,2000,1961,0.996940336562978,0,NA,91.2947599887848,0.00124718998720672
"gauss_car1","gaussian",NA,0.3,2000,1954,1,0,NA,87.6301400661469,0
"gauss_car1","gaussian",NA,0.5,2000,1958,1,0,NA,89.5838251113892,0
"tobit_ceil","gaussian",NA,0,2000,2000,0.0465,2000,0.0465,27.7539699077606,0.00470838348055891
"tobit_ceil","gaussian",NA,0.1,2000,2000,0.656,0,NA,11.0501930713654,0.0106222408182078
"tobit_ceil","gaussian",NA,0.2,2000,2000,0.9975,0,NA,11.6505019664764,0.00111663557170635
"tobit_ceil","gaussian",NA,0.3,2000,2000,1,0,NA,11.8165228366852,0
"tobit_ceil","gaussian",NA,0.5,2000,2000,1,0,NA,11.1513249874115,0
"aft_weib","weibull",NA,0,2000,2000,0.0415,2000,0.043,30.2296140193939,0.00445969449626317
"aft_weib","weibull",NA,0.1,2000,2000,0.736,0,NA,13.4027709960938,0.00985657141200732
"aft_weib","weibull",NA,0.2,2000,2000,0.9995,0,NA,13.3609251976013,0.000499874984371065
"aft_weib","weibull",NA,0.3,2000,2000,1,0,NA,13.2067158222198,0
"aft_weib","weibull",NA,0.5,2000,2000,1,0,NA,13.0525460243225,0
"rp_flex","rp",NA,0,2000,1995,0.0481203007518797,1995,0.0486215538847118,69.8240330219269,0.0047916352244327
"rp_flex","rp",NA,0.1,2000,1995,0.62406015037594,0,NA,29.4466059207916,0.0108442858632581
"rp_flex","rp",NA,0.2,2000,1990,0.997989949748744,0,NA,29.2385139465332,0.00100401454203861
"rp_flex","rp",NA,0.3,2000,1992,1,0,NA,28.9255378246307,0
"rp_flex","rp",NA,0.5,2000,1990,1,0,NA,28.7032709121704,0
"disp_group","gaussian",NA,0,2000,2000,0.061,2000,0.06,49.3771378993988,0.00535158854920667
"disp_group","gaussian",NA,0.1,2000,2000,0.9405,0,NA,18.9483270645142,0.00528960064655168
"disp_group","gaussian",NA,0.2,2000,2000,1,0,NA,19.4409499168396,0
"disp_group","gaussian",NA,0.3,2000,2000,1,0,NA,20.5203111171722,0
"disp_group","gaussian",NA,0.5,2000,2000,1,0,NA,20.7093501091003,0
