"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J5_mid","multinomial",5,"c1:(Intercept)",0.119,2000,614,0.95928338762215,0.0266049641117627,0.245666797728619,0.25362136437541,1.03237949417804,0.00797581542442926,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c1:x1",-0.541,2000,614,0.95114006514658,-0.0114769398848725,0.126954929312266,0.124856170628941,0.983468474247559,0.00869990467763308,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c1:grpb",0.258,2000,614,0.957654723127036,0.0110314330281601,0.277491734626604,0.283156727049318,1.02041499517215,0.00812686003760821,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c1:grpc",0.69,2000,614,0.960912052117264,0.0192867287270961,0.271622091417566,0.275975394328518,1.01602705762345,0.00782130226219605,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c2:(Intercept)",0.049,2000,614,0.95114006514658,-0.00823451636774663,0.27344592205387,0.266837018227464,0.975831038997525,0.00869990467763308,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c2:x1",0.653,2000,614,0.96742671009772,0.0335490688115123,0.140030950320163,0.142563762584499,1.01808751749913,0.00716400142578856,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c2:grpb",0.24,2000,614,0.946254071661238,0.0184721776601915,0.292743699850476,0.293681695749881,1.00320415400873,0.00910107051778267,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c2:grpc",-0.288,2000,614,0.949511400651466,-0.0100984168385386,0.331122250499102,0.319287438253461,0.964258480884923,0.00883613958004889,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c3:(Intercept)",-0.198,2000,614,0.962540716612378,-0.0136094840852652,0.289875823064332,0.289121124057255,0.997396474810839,0.00766311074219089,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c3:x1",-0.455,2000,614,0.949511400651466,-0.0264963145064918,0.155399964574825,0.148309506181177,0.954372844208511,0.00883613958004889,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c3:grpb",0.068,2000,614,0.947882736156352,0.00412763111462003,0.328892410330274,0.32440194017521,0.9863466896346,0.00896982406375344,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c3:grpc",0.008,2000,614,0.949511400651466,-0.0061692267297375,0.331118690386685,0.333651297014509,1.00764863688264,0.00883613958004889,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c4:(Intercept)",-0.429,2000,614,0.95928338762215,-0.0223853305049138,0.322574228649255,0.311886704256223,0.966868015347089,0.00797581542442926,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c4:x1",0.192,2000,614,0.95114006514658,0.00769573452069794,0.151626526115492,0.151389013826476,0.998433570331652,0.00869990467763308,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c4:grpb",0.263,2000,614,0.956026058631922,0.00371159023081991,0.346292026413012,0.344577585074964,0.995049145786556,0.00827462604807987,415.527158975601,360,120,"glm",3,0.307
"mn_J5_mid","multinomial",5,"c4:grpc",0.196,2000,614,0.957654723127036,0.0240392622036004,0.35772847776354,0.350031715981844,0.978484347039366,0.00812686003760821,415.527158975601,360,120,"glm",3,0.307
