"design","noise","cell","rep","seed","ok","sigma","rel","se_logsig","push","held","how","draws_finite","at","rule"
"ar1",0.5,1,1,6008,TRUE,0.460922256134492,0.45145299385745,0.157989690461657,61.9968704337447,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,1,12015,TRUE,0.359314384008551,0.400926227804848,0.165297689982796,65.593611725907,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,1,18022,TRUE,1.47232171878915e-05,1.55057862988815e-05,0,-2.94448909698986e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,1,24029,TRUE,0.562848455487504,0.64044453108883,145.858351951082,45.6574770467231,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,1,30036,TRUE,0.434358393317074,0.571177453651868,0.04303394289426,53517.919499511,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,2,6009,TRUE,0.457904079703646,0.477148336132443,0.215136975448724,35.6185578665044,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,2,12016,TRUE,8.88043322527406e-06,1.05570657222053e-05,0,-1.94313543033786e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,2,18023,TRUE,2.19471967037274e-05,2.55104957733585e-05,0,-3.57476892531849e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,2,24030,TRUE,0.565789473358596,0.664450772393589,0.0816496580943508,45.6574901938427,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,2,30037,TRUE,0.475510410292384,0.575129603391765,0.0430333371242593,53517.8993269004,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,3,6010,TRUE,0.524515154789308,0.513943900717371,0.0959522145065754,173.332275082073,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,3,12017,TRUE,9.67879548686379e-06,9.74712532725423e-06,0,-1.71212377608754e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,3,18024,TRUE,0.0980431333419768,0.123597573923387,2.07138343377353,0.228905179476897,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,3,24031,TRUE,0.531901340095007,0.668730539909091,93.5525533794508,45.6574603163471,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,3,30038,TRUE,0.514593927190567,0.64094443186553,0.0430373553004921,53517.9465996876,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,4,6011,TRUE,0.173501424951802,0.184985359131221,3.9006584038546,0.365414485090355,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,4,12018,TRUE,0.234076111352165,0.270763796526119,0.369266688401045,6.72790368459994,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,4,18025,TRUE,0.171574414394514,0.209589353992497,1.43527852250897,1.45790884557391,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,4,24032,TRUE,0.526930946742414,0.654358366500886,112.423669286455,45.6574690575922,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,4,30039,TRUE,0.531577735066463,0.598089720345617,0.0430355180724181,53517.9298422801,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,5,6012,TRUE,0.393027567038818,0.430847340228168,0.517720046933033,16.3196656455951,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,5,12019,TRUE,0.155538328177156,0.192308156164201,0.988731555338277,1.05524677946585,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,5,18026,TRUE,0.0858089047335049,0.0959540961871967,2.69126212603232,0.117879580113936,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,5,24033,TRUE,0.536946291515275,0.667779281077727,125.053065898261,45.6574728323161,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,5,30040,TRUE,0.530182263129898,0.679518588539233,0.0430331476201958,53517.9959959315,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,6,6013,TRUE,0.450610206191697,0.439413068990173,0.230097932127032,29.5577200065625,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,6,12020,TRUE,0.3099962082905,0.360743528083317,0.16447564010453,34.3987534389786,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,6,18027,TRUE,5.91756625065667e-06,6.86396834792318e-06,0,-1.87992554856464e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,6,24034,TRUE,0.525831106656652,0.662210887906589,0.0816496580947497,45.6574910681759,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,6,30041,TRUE,0.486655979039344,0.583728935977378,0.0430335485652362,53517.9231269697,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,7,6014,TRUE,0.242122579336893,0.264330434886288,1.04157601902019,2.30854447366039,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,7,12021,TRUE,0.267671166611593,0.29631715574234,0.405284298333507,10.0800849338617,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,7,18028,TRUE,0.121017281023905,0.136760366057036,1.14662721970211,0.575562370065882,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,7,24035,TRUE,0.540244369032541,0.670060498967025,110.483325336455,45.6574683601214,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,7,30042,TRUE,0.459095933776545,0.62437181824215,0.0430349953380574,53517.9348683733,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,8,6015,TRUE,0.600884209530995,0.638013282199615,0.0871467204822285,271.454326823491,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,8,12022,TRUE,0.150491045721669,0.177553128654707,1.78618714764403,0.59591738212066,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,8,18029,TRUE,0.0220654104403282,0.0251257526676032,33.2898302203981,0.000701971995795247,"g","boundary",FALSE,TRUE,FALSE
