"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"nbinom","ar1",Inf,1,1,7920,TRUE,17.0048378181324,0.000202976792307522,0,-652.131781317045,-652.131780766598,-5.56961595066241e-07,"g,dispersion","boundary",1.00000001095892,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,1,15839,TRUE,17.4602507364826,0.000161642190158072,0,-589.989503902649,-589.989503524643,-3.51506173501548e-07,"g,dispersion","boundary",1.00000003112883,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,1,23758,TRUE,0.820124374133266,0.663608980957211,0.343426465956447,-633.773162499646,-635.126758872477,16.1524405275403,"g","boundary",1.0110377587359,TRUE,FALSE,FALSE
"nbinom","ar1",1,4,1,31677,TRUE,-0.271644569194296,1.14547830636643,0.250487296363914,-579.497612353804,-580.647968123803,40.832817775046,"g","boundary",1.03174038278345,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,1,39596,TRUE,17.3026097428538,0.000174898479165906,0,-500.380858825289,-500.380856589761,-2.12426544976552e-06,"dispersion","boundary",1.00000002563675,TRUE,TRUE,TRUE
"nbinom","ri",50,6,1,47515,TRUE,4.61530895779427,0.0994943441748368,2.97539142449099,-535.305550418481,-535.366319610412,0.0549714024299419,"","tmb",1.02205778012307,TRUE,FALSE,FALSE
"nbinom","ri",5,7,1,55434,TRUE,2.19839863013761,0.333137715288531,0.39176537375125,-582.25629682663,-587.651245930909,4.72160920865906,"","tmb",1.16096307687661,TRUE,FALSE,FALSE
"beta","ar1",10000,8,1,63353,TRUE,17.8162386969179,0.000135286020758874,0,218.176141097416,NA,0.00056666352566026,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,1,71272,TRUE,17.9176811756357,0.000128595262250172,0,181.66568447659,NA,-0.000483676131807442,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,1,79191,TRUE,5.94831914344987,0.0510903537440161,2.02583110665614,115.642630182521,NA,0.364350545535558,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,1,87110,TRUE,5.23254765114699,0.0730746450325704,0.0858645773875351,507.847362158609,NA,2177.87819807968,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,1,95029,TRUE,3.07282989082623,0.215151048704848,0.0845412128012185,224.345702773255,NA,2220.53036814704,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,2,7921,TRUE,16.0581686380181,0.000325846443750123,0,-581.379309668976,-581.379306395146,-1.65658968853677e-06,"g,dispersion","boundary",1.00000004517458,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,2,15840,TRUE,16.8621714674953,0.000217984688528936,0,-579.972356355011,-579.972355963811,-3.96690097659302e-07,"g,dispersion","boundary",1.00000002552485,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,2,23759,TRUE,15.9839924070799,0.000338158376215641,0,-613.824478558105,-613.824477310414,-1.18575985652569e-06,"dispersion","boundary",1.00000043650597,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,2,31678,TRUE,-0.00652449673065006,1.00326757528853,0.304707456286475,-625.778008221331,-624.899368289532,30.8503016702963,"","tmb",1.01738768813066,TRUE,TRUE,FALSE
"nbinom","ri",Inf,5,2,39597,TRUE,17.1161094390903,0.000191992409697179,0,-491.492190286015,-491.492190160634,-1.19186836400331e-07,"dispersion","boundary",1.00000006343306,TRUE,TRUE,TRUE
"nbinom","ri",50,6,2,47516,TRUE,3.77128176725806,0.151731785844685,1.76634509129262,-499.859113420256,-500.039296953591,0.161976434303881,"","tmb",1.03033478306156,TRUE,FALSE,FALSE
"nbinom","ri",5,7,2,55435,TRUE,1.7545212122913,0.415920723186115,0.332640652243038,-522.38474108978,-531.395004910848,7.88877753258657,"","tmb",1.21999334287433,TRUE,FALSE,FALSE
"beta","ar1",10000,8,2,63354,TRUE,16.8915909885783,0.000214801654189846,0,189.013520368043,NA,0.000225930766191595,"g,ar,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,2,71273,TRUE,16.123283183103,0.000315408607977626,0,198.600098942568,NA,9.66662587416067e-05,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,2,79192,TRUE,3.18991306681026,0.202917348437033,0.355759952324678,135.438869476218,NA,58.8914034341924,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,2,87111,TRUE,5.41527704764086,0.0666941174688333,0.0859039481802107,536.246797605667,NA,2176.31089457705,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,2,95030,TRUE,3.09952689971322,0.212298187054125,0.0845887329849149,228.473974690494,NA,2216.42857815315,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,3,7922,TRUE,1.37707561302331,0.50231000677686,0.397720037153553,-642.607147181504,-644.056013997889,9.7634309659785,"g","boundary",1.01501048109453,TRUE,FALSE,FALSE
"nbinom","ar1",50,2,3,15841,TRUE,16.3040948103831,0.000288144806111371,0,-651.628066368755,-651.628066282638,-8.18162106952514e-08,"dispersion","boundary",0.999999886657819,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,3,23760,TRUE,19.7101952725715,5.24789911888976e-05,0,-583.112661513592,-583.112661534387,-2.0343122741906e-09,"g,dispersion","boundary",1.00000000390912,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,3,31679,TRUE,0.210575712585876,0.900065395804179,0.318177278004384,-688.374424089231,-687.29106139974,33.4713628503738,"","tmb",1.00869895897946,TRUE,TRUE,FALSE
"nbinom","ri",Inf,5,3,39598,TRUE,2.46088797558072,0.292162832150004,0.62279464891877,-488.652473493557,-490.515640757881,1.66735757500874,"","tmb",1.18347674142805,TRUE,FALSE,FALSE
"nbinom","ri",50,6,3,47517,TRUE,3.63725130414157,0.162248583779011,1.15684582812913,-505.011247591077,-505.489318223672,0.426126507875722,"","tmb",1.06104758086562,TRUE,FALSE,FALSE
"nbinom","ri",5,7,3,55436,TRUE,1.09842900145369,0.577403182075445,0.278530210509058,-509.838897958398,-525.026383914773,12.8615720121531,"","tmb",1.30507893710729,TRUE,FALSE,FALSE
"beta","ar1",10000,8,3,63355,TRUE,16.3722880165377,0.000278485654925832,0,214.917152122413,NA,0.000107981873043173,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,3,71274,TRUE,16.5860447006298,0.000250256954407498,0,206.691534859935,NA,-0.000170504385096137,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,3,79193,TRUE,2.63711730836733,0.267520613932924,0.18163194007367,115.524441585552,NA,205.941692909997,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,3,87112,TRUE,5.27916170157134,0.0713911868459206,0.0858843160813901,516.41248303609,NA,2177.20533877228,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,3,95031,TRUE,3.2344493906657,0.198448691111507,0.0847896518937092,248.652561434718,NA,2211.03607392053,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,4,7923,TRUE,18.5751014611946,9.25695105177785e-05,0,-618.620015013003,-618.620014993465,-5.96039626543643e-08,"g,dispersion","boundary",0.999999964000722,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,4,15842,TRUE,17.3256236739937,0.000172897463277904,0,-623.07459642852,-623.074596439742,-2.7741748453991e-08,"g,dispersion","boundary",0.999999747886569,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,4,23761,TRUE,16.0399696704292,0.000328825009336938,0,-631.696872275827,-631.696871338256,-9.32566990741179e-07,"g,dispersion","boundary",1.00000002331094,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,4,31680,TRUE,-0.121784330522417,1.06278430294007,0.249388637267474,-569.106959348121,-570.080619972758,40.8493120583173,"g","boundary",1.00133133098814,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,4,39599,TRUE,3.20421882094463,0.201471084230244,1.09301218230587,-517.154534053962,-517.657867886556,0.452212233200726,"","tmb",1.05549049580439,TRUE,FALSE,FALSE
"nbinom","ri",50,6,4,47518,TRUE,17.8932007696861,0.000130178967022803,0,-471.154168874154,-471.154167782247,-1.03761595937613e-06,"dispersion","boundary",1.00000007843098,TRUE,TRUE,TRUE
"nbinom","ri",5,7,4,55437,TRUE,1.90290692381476,0.386179318416214,0.451395546764585,-491.930566733146,-495.830895734309,3.47282765791283,"","tmb",1.17160885738585,TRUE,FALSE,FALSE
"beta","ar1",10000,8,4,63356,TRUE,16.7256375144714,0.000233385548523906,0,204.632235440225,NA,0.000167626444181224,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,4,71275,TRUE,16.3710090741689,0.000278663795429219,0,219.367605798529,NA,7.61329365559504e-05,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,4,79194,TRUE,2.76069142630021,0.251491594077977,0.265819572319251,112.284962424242,NA,122.35791992493,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,4,87113,TRUE,5.24126551349048,0.0727568108962802,0.0858767093085043,511.103591774336,NA,2177.25597816469,"","tmb",NA,TRUE,FALSE,FALSE
