"cell","method","n_ok","rmse","cat_acc","coverage","width","bias"
"fullrank_n200_p8","fcs",40,1.42435751285275,NA,0.9,0.315014472968423,-0.0135652236379444
"fullrank_n200_p8","glrm",40,1.35522549402809,NA,0.9,0.304848740361075,-0.0577694114398062
"fullrank_n200_p8","lowrank",40,3.35481167321925,NA,0.5,0.329783890233001,-0.203711521840668
"fullrank_n200_p8","lowrank_pa",40,1.42600585984942,NA,0.875,0.326439597802737,-0.0769485655991836
"fullrank_n200_p8","mean",40,0.995506633372558,NA,0.9,0.322363212396494,0.000632915026167136
"lowrank_n200_p8","fcs",40,0.705651726439222,NA,0.9,0.269921728589808,-0.0164455800588372
"lowrank_n200_p8","glrm",40,1.11348583037731,NA,0.775,0.258048621560939,-0.0704540297418668
"lowrank_n200_p8","lowrank",40,1.47680030346257,NA,0.65,0.321263189164256,-0.140662547650569
"lowrank_n200_p8","lowrank_pa",40,0.881059033820464,NA,0.825,0.272045946550979,-0.0642860057585025
"lowrank_n200_p8","mean",40,1.01100600112661,NA,0.85,0.275409495249059,-0.0488402870476922
"lowrank_n400_p12","fcs",40,0.608934075445216,NA,0.975,0.153716296387743,0.00648960934183351
"lowrank_n400_p12","glrm",40,1.15236163865199,NA,0.5,0.156517807246197,-0.0808614332624036
"lowrank_n400_p12","lowrank",40,0.725493570764252,NA,0.95,0.178799866805707,-0.0198477074599809
"lowrank_n400_p12","lowrank_pa",40,0.975854265215823,NA,0.475,0.177054087602365,-0.0911891398118266
"lowrank_n400_p12","mean",40,0.994678335572244,NA,0.825,0.17450070188665,-0.0312366200731594
"mixed_n300_heavy","fcs",40,0.889032600304203,0.615283109118686,0.95,0.298723011637804,-0.031417416981144
"mixed_n300_heavy","glrm",40,1.10027561007116,0.53878903068366,0.625,0.251576182926968,-0.0909031624637587
"mixed_n300_heavy","lowrank",40,3.07310086741175,NA,0.5,0.325841455350646,-0.322403047468209
"mixed_n300_heavy","lowrank_pa",40,1.06546169514013,NA,0.6,0.28458178979229,-0.0908271377765504
"mixed_n300_heavy","mean",40,1.00695663431551,0.502413395604451,0.775,0.302748782162031,-0.0533741594012773
"mixed_n300_p6c2","fcs",40,0.814960842937143,0.634015688361902,0.9,0.256923712268324,0.00104748409651778
"mixed_n300_p6c2","glrm",40,1.05071561663246,0.547767980168254,0.675,0.247663024294175,-0.0468122379514611
"mixed_n300_p6c2","lowrank",40,1.4488615052117,NA,0.65,0.319589308158221,-0.114426636326152
"mixed_n300_p6c2","lowrank_pa",40,0.905757931550167,NA,0.8,0.257179003185046,-0.0351992839948696
"mixed_n300_p6c2","mean",40,1.00195962565778,0.507748015347473,0.9,0.265143731609965,-0.0286725704050124
"wide_n60_p80","fcs",0,NA,NA,NA,NA,NA
"wide_n60_p80","glrm",40,1.17015011624474,NA,0.975,0.377872742571927,-0.0522210680716434
"wide_n60_p80","lowrank",40,0.558714534056957,NA,0.975,0.384350440667042,-0.00678134933909813
"wide_n60_p80","lowrank_pa",40,0.875641325874897,NA,0.975,0.431771659132562,-0.0429860266089812
"wide_n60_p80","mean",40,1.007427931095,NA,0.925,0.394554103121892,-0.0149172110641256
