"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"gaussian",0.5,"ri_ar",12,0,1,1,8192,TRUE,0.324990616961736,0.596840250714688,2.22238643867624,-237.347567568271,-237.50768426287,"tmb","","",0.0389050916959974,0.0389161897599124,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0,2,1,16383,TRUE,0.0645541531895086,7.60560738199667,0.00566139128147825,-519.173110471507,-519.17523787688,"tmb","","",0.0458309642677137,0.0457879103224349,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,1,24574,TRUE,4.31297735605426e-05,0,-8.84097062225919e-09,-157.210483123398,-157.210483114536,"boundary","g","g",0.158337566836664,0.158337528596266,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0,4,1,32765,TRUE,0.0631493809650846,8.76554167801138,0.0052689678399247,-456.052188373205,-456.053777515445,"tmb","","",0.0271586218191376,0.0271330460333647,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0,5,1,40956,TRUE,5.01021815756068e-05,0,-4.94630967295961e-08,-986.3913876509,-986.391387601313,"boundary","g","g",0.0293102186205207,0.0293102190274323,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",24,0,6,1,49147,TRUE,3.14963220383629e-05,0,-1.50550931721227e-08,-325.859158229451,-325.859158214458,"boundary","g","g",0.0971691609869211,0.0971695278154457,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.1,7,1,57338,TRUE,0.244039318393073,0.340348177008946,3.67023992858839,-230.943293139077,-231.206418888929,"tmb","","",0.0417156222277439,0.0409982476377947,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.1,8,1,65529,TRUE,6.34506905596158e-05,0,-3.68920609616907e-08,-501.499310360345,-501.499310323575,"boundary","g","g",0.0434615661110941,0.0434615772224411,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",12,0.1,9,1,73720,TRUE,7.15076162221555e-05,0,-7.00771352057927e-09,-163.342117897549,-163.342117890524,"boundary","g","g",0.152967050531362,0.152967057706935,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.1,10,1,81911,TRUE,0.210456667164796,0.298586479338507,4.20993494083183,-407.787089564046,-409.814373398852,"tmb","","",0.0242004206431333,0.0242538914290717,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.1,11,1,90102,TRUE,0.20327316537563,0.526253762576185,1.36961449605406,-1011.12899711306,-1011.52422499281,"tmb","","",0.0302623327615119,0.0300953606844943,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.1,12,1,98293,TRUE,2.46692636934945e-05,0,-1.33197204377211e-08,-329.765637747445,-329.765637734184,"boundary","g","g",0.103647173151801,0.103647156299092,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.3,13,1,106484,TRUE,7.49818911551027e-06,0,-4.88739715365227e-10,-235.440335161587,-235.440335161098,"boundary","g","g",0.0388463305268353,0.0388463304412273,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.3,14,1,114675,TRUE,0.247860437201625,2.25961425909197,0.375117794968901,-508.721038933504,-508.737672581927,"tmb","","",0.0395833879327819,0.0394244947254206,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.3,15,1,122866,TRUE,0.000126504503186664,0,-1.0593396382319e-08,-155.055516915044,-155.055516904423,"boundary","g","g",0.163814709975544,0.163814729221457,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.3,16,1,131057,TRUE,0.177341067587665,0.828977050508354,0.477697819650075,-482.231099918675,-482.398485063307,"tmb","","",0.0291526905817536,0.0290884063492098,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.3,17,1,139248,TRUE,0.347571394990578,0.248826431594248,9.06361857824027,-1030.57478092492,-1033.176893639,"tmb","","",0.0304370044955882,0.0295687063508899,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.3,18,1,147439,TRUE,0.0304745275178862,31.2778324805768,0.000139885542921547,-325.017558757661,-325.017686899425,"tmb","","",0.0987675133550769,0.0985297567668355,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.5,19,1,155630,TRUE,1.98988428953569e-05,0,-3.19886339639197e-09,-211.50764077536,-211.507640772154,"boundary","g","g",0.0359195362990403,0.0359195366756467,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.5,20,1,163821,TRUE,0.67584893508897,0.282016439563368,12.5771867819684,-519.978265847949,-520.272492440836,"tmb","","",0.0439172180928492,0.0429021492553234,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.5,21,1,172012,TRUE,6.95083698986317e-05,0,-1.01591695056413e-08,-162.644302315316,-162.644302305132,"boundary","g","g",0.149362281208321,0.149362291436665,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.5,22,1,180203,TRUE,0.548913640133905,0.193099696440587,33.025472991248,-481.464441823675,-483.787851405393,"tmb","","",0.0271329034838852,0.0271498468902379,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.5,23,1,188394,TRUE,0.511955991681863,0.234648995417369,11.3333246070007,-974.79255815707,-977.067405919453,"tmb","","",0.0306983967227739,0.0301713858177985,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.5,24,1,196585,TRUE,0.391387014562222,0.671985016088971,1.08956829875996,-317.907832978625,-318.006736657944,"tmb","","",0.106158345428534,0.105226459338903,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",5,0,25,1,204776,TRUE,0.134183076798883,0.795158434790356,0.402298402848558,-38.9475659461409,-39.2968713259105,"tmb","","",0.0846636152993894,0.0889147039946552,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0,26,1,212967,TRUE,5.38385247489693e-05,0,-8.59917292928003e-09,-90.9524931388648,-90.9524931302443,"boundary","g","g",0.066025631945262,0.0660256107698626,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0,27,1,221158,TRUE,2.72430059001636e-05,0,-3.44312667266422e-09,-33.9375799701579,-33.9375799667062,"boundary","g","g",0.32687887980909,0.326878905542425,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0,28,1,229349,TRUE,7.57470066915667e-06,0,-7.7572650525326e-09,-72.7495198143669,-72.7495198065988,"boundary","g","g",0.0493046751612733,0.0498052344035781,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",10,0,29,1,237540,TRUE,0.0852503660181525,1.28710688689136,0.10144201789663,-189.358423808176,-189.456490531456,"tmb","","",0.0565101093188,0.0552946204035532,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0,30,1,245731,TRUE,0.402191856040287,0.86856238320294,0.264755935644601,-67.9666957299229,-68.2324012696577,"tmb","","",0.230020764460212,0.222421734174055,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",30,0,31,1,253922,TRUE,0.087518142362706,0.498497622308853,0.801038926197805,-196.313622664296,-197.018574687865,"tmb","","",0.0270774915916058,0.0273188794992712,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0,32,1,262113,TRUE,0.0991079382760998,0.499759946346446,0.747203883609131,-590.655054978637,-591.393747651092,"tmb","","",0.030828184312737,0.0301738711947187,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0,33,1,270304,TRUE,0.245774845718468,1.05280523558913,0.137929003263849,-203.662983739332,-203.801204028034,"tmb","","",0.115966151476113,0.114367395221371,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",5,0.1,34,1,278495,TRUE,0.067959519151199,2.33477247025367,0.0304896776137156,-39.5130799757713,-39.5400939916168,"tmb","","",0.0693528069298413,0.0706966738986067,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0.1,35,1,286686,TRUE,1.72639995947921e-05,0,-1.26559172031193e-08,-98.8360098327378,-98.8360098200505,"boundary","g","g",0.094043140484209,0.0940431275376967,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0.1,36,1,294877,TRUE,0.473494454696266,1.08751546424557,0.192029680952515,-30.7946065491904,-30.9766564137154,"tmb","","",0.357790165870626,0.337855507786937,NA,FALSE,FALSE,FALSE
