"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"gaussian",0.5,"ri_ar",12,0,1,1,58192,TRUE,1.80612241805388e-05,0,-1.34889432956697e-09,-224.417236145795,-224.417236144445,"boundary","g","g",0.0402466247885388,0.0402466250817201,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0,2,1,66383,TRUE,0.35688885565262,0.236944474907603,16.2164722982126,-489.692302652228,-489.86799220934,"tmb","","",0.041962796881337,0.0403055850783867,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,1,74574,TRUE,4.77697682608926e-05,0,-1.03989918898151e-08,-161.731011638792,-161.731011628344,"boundary","g","g",0.142005228097197,0.142005124670924,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0,4,1,82765,TRUE,1.16965042899816e-05,0,-1.6177637007786e-09,-479.245548677496,-479.245548675876,"boundary","g","g",0.02936164420596,0.0293616434568028,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",24,0,5,1,90956,TRUE,0.159807911913561,0.65413601053243,0.753481529534042,-968.958281439932,-969.235753975865,"tmb","","",0.0300031445352306,0.0298872750493187,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0,6,1,99147,TRUE,3.32236235334784e-05,0,-1.87193336387281e-08,-322.417592723361,-322.417592703647,"boundary","g","g",0.0986224122262601,0.0986223689856724,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.1,7,1,107338,TRUE,2.49214136122855e-05,0,-4.30190993938595e-10,-234.746185084455,-234.746185084023,"boundary","g","g",0.0381062248251406,0.0381062256241323,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.1,8,1,115529,TRUE,0.000224264808174024,0,-3.52929419022985e-08,-520.807165585897,-520.807165550658,"boundary","g","g",0.0386192752028038,0.0386192711689143,TRUE,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",12,0.1,9,1,123720,TRUE,0.190854457736559,1.8626596171679,0.0414185357783481,-155.722844361316,-155.763998676405,"tmb","","",0.16289022248618,0.161897083953235,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0.1,10,1,131911,TRUE,4.98628962424658e-06,0,-1.08161657408345e-09,-447.577292299863,-447.577292298779,"boundary","g","g",0.0287935900289907,0.0287935900702288,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",24,0.1,11,1,140102,TRUE,0.0755685741039766,2.63760682954401,0.0463214065823649,-1036.88687355258,-1036.90436271474,"tmb","","",0.0308559406980463,0.0308068704416916,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.1,12,1,148293,TRUE,8.7804682726528e-05,0,-1.08491803985089e-07,-328.305358295492,-328.305353084684,"boundary","g,ar","g",0.0919089353921033,0.0936136930403886,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.3,13,1,156484,TRUE,3.1164616488006e-05,0,-1.07434061646927e-10,-237.615116697032,-237.615116696926,"boundary","g","g",0.0412034380024886,0.0412034359303087,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.3,14,1,164675,TRUE,0.323472662575206,0.390708861017269,2.61919805125387,-480.90477070585,-481.488118574747,"tmb","","",0.0476870638602702,0.0471494335335285,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.3,15,1,172866,TRUE,4.31462853669037e-05,0,-7.73934516473673e-09,-153.824677422087,-153.82467741433,"boundary","g","g",0.176156124956371,0.176156140376112,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.3,16,1,181057,TRUE,0.166331743522089,1.38796079492091,0.260232979194711,-455.337104941133,-455.390354166612,"tmb","","",0.0261578703863583,0.0261547765541801,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.3,17,1,189248,TRUE,0.0472972230177374,6.27325501427421,0.00561251307215116,-979.10802464862,-979.111215237422,"tmb","","",0.0340049351241085,0.0339814536946151,TRUE,FALSE,FALSE,FALSE
